Designator,Mid X,Mid Y,Rotation,Layer
C1,67.25,5.95,270.0,top
C10,41.0,4.02,90.0,top
C11,42.0,4.02,90.0,top
C12,29.225,17.5,180.0,top
C13,29.52,19.0,180.0,top
C14,29.52,21.5,180.0,top
C15,50.0,41.225,270.0,top
C16,51.5,30.73,90.0,top
C17,56.73,42.75,0.0,top
C18,50.25,30.73,90.0,top
C19,57.025,41.5,0.0,top
C2,82.9,7.7,90.0,top
C20,59.48,36.75,0.0,top
C21,59.48,37.75,0.0,top
C22,41.5,9.475,270.0,top
C23,41.0,14.52,270.0,top
C24,59.0,27.025,270.0,top
C25,52.5,24.025,270.0,top
C26,5.75,35.27,270.0,top
C3,73.25,19.95,90.0,top
C4,69.475,16.0,180.0,top
C5,67.0,33.7,90.0,top
C6,85.5,40.775,90.0,top
C7,75.75,42.02,270.0,top
C8,64.0,41.025,270.0,top
C9,70.0,41.025,270.0,top
D1,64.5,7.0,270.0,top
D10,21.9,38.25,0.0,top
D2,72.5,25.5,90.0,top
D3,83.0,33.0,270.0,top
D4,79.25,33.0,270.0,top
D5,74.4625,35.5,0.0,top
D6,57.3625,31.2,0.0,top
D7,13.7875,40.25,180.0,top
D8,22.0375,40.25,180.0,top
D9,13.65,38.25,0.0,top
F1,74.6,31.0,180.0,top
J1,34.7,4.11,0.0,top
J2,51.71,11.005,0.0,top
J3,7.75,7.79,0.0,top
J4,20.75,7.79,0.0,top
K1,15.25,26.155,270.0,top
K2,23.505,26.155,270.0,top
L1,81.0,21.95,270.0,top
L2,73.25,41.35,90.0,top
L3,52.5,27.3125,90.0,top
Q1,41.15,20.95,270.0,top
Q2,55.5,27.45,0.0,top
Q3,55.5,24.05,180.0,top
Q4,17.55,39.25,90.0,top
Q5,25.8,39.25,90.0,top
R1,76.01,9.5,180.0,top
R10,66.5,16.0,180.0,top
R11,75.925,34.0,180.0,top
R12,77.25,41.5875,270.0,top
R13,79.25,41.5875,90.0,top
R14,28.5,7.49,270.0,top
R15,28.5,9.51,90.0,top
R16,29.49,20.0,180.0,top
R17,42.0,18.01,90.0,top
R18,29.49,22.5,0.0,top
R19,51.25,41.74,90.0,top
R2,73.99,9.5,180.0,top
R20,58.76,34.25,0.0,top
R21,61.0,19.49,90.0,top
R22,42.0,6.01,270.0,top
R23,59.5,23.51,90.0,top
R24,58.5,23.51,270.0,top
R25,16.01,41.75,180.0,top
R26,18.01,41.75,180.0,top
R27,12.51,41.75,0.0,top
R28,24.26,41.75,180.0,top
R29,26.26,41.75,180.0,top
R3,71.99,9.5,0.0,top
R30,20.76,41.75,0.0,top
R31,7.26,33.25,0.0,top
R32,7.26,31.75,0.0,top
R4,69.0,5.825,270.0,top
R5,70.25,5.51,270.0,top
R6,69.2875,12.5,180.0,top
R7,68.2875,26.0,0.0,top
R8,71.5,19.825,270.0,top
R9,72.675,16.0,180.0,top
RN1,53.28,41.75,180.0,top
RN2,59.5,39.47,90.0,top
RN3,53.0,31.03,270.0,top
SW1,35.15,19.9,180.0,top
U1,74.5625,5.845,270.0,top
U2,67.845,21.025,180.0,top
U3,82.7,41.55,180.0,top
U4,34.445,12.975,0.0,top
U5,38.25,33.745,0.0,top
U6,54.5625,36.75,270.0,top
U7,5.75,39.75,90.0,top
